Date,Open,High,Low,Close,Adj Close,Volume
2019-12-26,1304.949951,1339.199951,1298.050049,1321.949951,1321.949951,1952617
2019-12-27,1322,1345,1313.550049,1340.050049,1340.050049,1025068
2019-12-30,1338,1352.699951,1330,1343.099976,1343.099976,831296
2019-12-31,1345,1358.800049,1328.25,1333.550049,1333.550049,792215
2020-01-01,1333.550049,1347.650024,1330,1333,1333,377625
2020-01-02,1340,1346.949951,1330,1332.400024,1332.400024,396177
2020-01-03,1318.5,1382.5,1301.400024,1360.949951,1360.949951,3665728
2020-01-06,1341,1347.900024,1318,1327.099976,1327.099976,1398650
2020-01-07,1327.150024,1384,1327.150024,1364.050049,1364.050049,1430196
2020-01-08,1326.050049,1368,1320,1353.099976,1353.099976,1793942
2020-01-09,1385,1410,1369.199951,1402.199951,1402.199951,1937904
2020-01-10,1418,1430.900024,1406.349976,1416.300049,1416.300049,1336205
2020-01-13,1421.300049,1436,1407.650024,1424.150024,1424.150024,1243383
2020-01-14,1430,1436.400024,1418,1423.25,1423.25,810440
2020-01-15,1425.949951,1453.699951,1416.099976,1445.599976,1445.599976,808672
2020-01-16,1492.050049,1509.699951,1443,1457.449951,1457.449951,2437625
2020-01-17,1458,1480,1448.550049,1472.949951,1472.949951,631678
2020-01-20,1475,1485,1458.050049,1472.349976,1472.349976,528466
2020-01-21,1460,1462.800049,1426.099976,1438.800049,1438.800049,1294690
2020-01-22,1440,1474.949951,1428.75,1468.099976,1468.099976,804058
2020-01-23,1485,1485,1451.300049,1465.900024,1465.900024,976622
2020-01-24,1465,1513.349976,1460.199951,1501.5,1501.5,1782660
2020-01-27,1499,1513.400024,1480.25,1495.75,1495.75,1412469
2020-01-28,1515,1541,1443.699951,1453.75,1453.75,6189322
2020-01-29,1475,1480.349976,1436.550049,1462.099976,1462.099976,1904809
2020-01-30,1451,1456.949951,1405,1419.199951,1419.199951,1822998
2020-01-31,1417,1426.949951,1371,1378.25,1378.25,1809304
2020-02-03,1366.550049,1401.699951,1349.300049,1391.800049,1391.800049,1155885
2020-02-04,1400,1419.949951,1395,1413,1413,597879
2020-02-05,1421.5,1455,1407.050049,1450.349976,1450.349976,885473
2020-02-06,1450,1458.349976,1387,1404.599976,1404.599976,1789881
2020-02-07,1408,1413,1391.449951,1400.150024,1400.150024,935774
2020-02-10,1400,1411.800049,1387.449951,1400.849976,1400.849976,758700
2020-02-11,1411,1416,1384.050049,1391,1391,908662
2020-02-12,1392,1450,1381.099976,1442.199951,1442.199951,1501808
2020-02-13,1442,1457.849976,1431.25,1444.400024,1444.400024,948700
2020-02-14,1434.800049,1464.800049,1429.699951,1439.099976,1439.099976,822170
2020-02-17,1441.300049,1465,1436.050049,1455.800049,1455.800049,507315
2020-02-18,1447.400024,1478.800049,1426.75,1471.050049,1471.050049,744044
2020-02-19,1475,1493.400024,1463.150024,1481.75,1481.75,634197
